"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","n_in_care_check","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","two_minus_place_gt24","three_plus_place_gt24","missing_gt24","n_in_care_g24","two_minus_place_len_miss","three_plus_place_len_missing","missing_len_missing","n_in_care_len_missing","two_minus_place_lt12","three_plus_place_lt12","missing_lt12","n_in_care_lt12","two_minus_place_lt24","three_plus_place_lt24","missing_lt24","n_in_care_lt24"
"Indiana",2019,171851,81,140055,9180,116,7.39,18026,14.3,0.25,27206,NA,NA,94.2,7.1,11,0.1,0,0,1569375,15.2,50.3,49.7,0,8726,97.4,2.6,0,39,89.4,10.5,0.1,11226,74,26,0,7215
"Indiana",2020,154274,98,151461,8426,56,3.51,15876,14.4,0.24,24302,NA,NA,92.4,7.2,11.5,0.1,0,0,1594263,15.3,49,51,0,7793,96,4,0,25,89.4,10.5,0.1,10145,72.9,27.1,0,6339
"Indiana",2021,140758,99,138760,7291,57,3.59,14641,13.8,0.18,21932,NA,NA,92,6.5,12.2,0.1,0,0,1587006,16,48.3,51.7,0,6980,93.5,6.5,0,46,89.3,10.7,0,9048,71.9,28.1,0,5858
"Iowa",2017,55102,74,40572,4129,19,2.6,5259,9.9,0.22,9388,0.7,1,93.4,12.5,7.7,NA,6.1,0,731975,12.3,37.2,62.8,0,1502,100,0,0,6,90.1,9.9,0,4866,74,26,0,3014
"Iowa",2018,56601,73,41328,4181,16,2.19,5685,9.5,0.48,9866,0.8,1,84.7,11.4,6.6,NA,33,0,729802,13.5,40.9,59.1,0,1596,100,0,0,1,89.3,10.7,0,4932,74.3,25.7,0,3337
"Iowa",2019,56237,73,41257,3769,25,3.43,6005,10.4,0.38,9774,0.7,0.9,81.7,10.5,6.6,NA,36.8,0,728005,13,40.8,59.2,0,1744,100,0,0,14,91.1,8.9,0,4527,74.3,25.7,0,3489
"Iowa",2020,52527,82,42994,2628,9,1.21,5686,10.8,0.51,8314,0.9,0.8,104.4,10.7,6.7,0.1,0,0,741640,12.4,41.5,58.5,0,1733,100,0,0,15,90.6,9.4,0,3335,76.7,23.3,0,3231
"Iowa",2021,43689,86,37558,2904,12,1.63,4509,12.5,0.96,7413,1,1,105.7,11.1,6.4,0.2,0,0,736376,12.5,41.4,58.6,0,1566,100,0,0,5,89.9,10.1,0,3464,77.4,22.6,0,2378
"Kansas",2017,74683,83,62160,3997,14,1.97,7141,13.8,0.65,11138,18.4,2.6,19.6,24.7,18.8,NA,30.3,0,712412,14.8,41.1,58.9,0,3486,0,0,0,0,72.4,27.2,0.4,4715,60.2,39.7,0.1,2937
"Kansas",2018,74453,83,61925,4227,9,1.27,7537,14.4,0.16,11764,18.6,3.7,48.6,24.2,18.9,0,0,0,706593,14.9,43,57,0,3815,0,0,0,0,69.9,30,0.2,4960,57.8,42.2,0,2989
"Kansas",2019,61004,85,51613,4212,16,2.28,7852,14.1,0.25,12064,16.6,2.9,48.1,25.1,19.9,0.3,0,0,701453,14.7,41.2,58.8,0,3889,89.3,0,10.7,28,73.6,26.1,0.2,4917,55.4,44.6,0,3230
"Kansas",2020,78149,84,65958,3032,10,1.41,7817,14.2,0.15,10849,16.7,2.8,45.2,25.7,20.9,0.4,0,0,711338,13.7,39,61,0,3847,100,0,0,26,79,20.7,0.3,3676,59.7,40.2,0.1,3300
"Kansas",2021,77654,87,67628,3172,10,1.42,7112,16.8,0.24,10284,14.4,2,46.9,25,22.9,0.4,0,0,703064,13.4,39.8,60.2,0,4039,100,0,0,13,79.4,20.3,0.4,3582,62.8,37.2,0,2650
"Kentucky",2017,83688,98,81906,6009,10,0.99,7546,13.7,0.51,13555,0.2,2.2,106.4,7,3.9,NA,0,0,1010963,22.4,43.5,56.5,0,3699,100,0,0,7,85.5,14.5,0.1,6985,63.5,36.5,0,2864
"Kentucky",2018,91003,98,88943,7492,6,0.6,7856,13,0.5,15348,0.2,2.2,106.3,6.3,4,NA,0,0,1008017,23,41.4,58.6,0,3782,100,0,0,7,85.6,14.3,0.1,8570,61.9,38.1,0,2989
"Kentucky",2019,98142,97,95638,6629,12,1.19,9154,11.2,0.2,15783,0.2,1.9,106,6.9,4,NA,0,0,1004268,21.7,42.7,57.3,0,3913,100,0,0,49,85,14.9,0,8076,63.4,36.6,0,3745
"Kentucky",2020,99395,97,96223,5204,9,0.88,9015,12.9,0.27,14219,0.2,1.9,101.2,7.6,4.4,NA,0,0,1020754,19.3,45.2,54.8,0,4205,100,0,0,21,84.8,15.2,0,6265,64.4,35.6,0,3728
"Kentucky",2021,91791,97,88796,5100,11,1.08,8547,15.2,0.31,13647,0.4,1.7,99.6,7.4,5.7,NA,0,0,1015912,22.1,46.8,53.2,0,4555,100,0,0,37,85.1,14.8,0.1,5892,65.6,34.4,0,3163
"Louisiana",2017,48618,98,47427,3527,25,2.26,4377,11.7,NA,NA,0.4,NA,90.9,15.5,5.3,NA,0.1,0,1107942,28,36.5,63.5,0,1755,100,0,0,2,82.6,17.2,0.1,4077,58.1,41.8,0.1,2070
"Louisiana",2018,48768,97,47417,3654,25,2.28,4366,11.9,NA,NA,0.2,NA,90.7,14.9,5.1,0,0.1,0,1098318,26.2,37.7,62.3,0,1779,100,0,0,3,80.9,19,0.1,4233,57.2,42.8,0,2005
"Louisiana",2019,46866,95,44633,2769,24,2.2,4468,11.4,NA,NA,0.2,NA,91,12.6,5.2,0.1,0.1,0,1089906,27,34,66,0,1654,100,0,0,7,80.4,19.4,0.1,3380,56.1,43.9,0,2196
"Louisiana",2020,42516,97,41451,2414,18,1.64,3880,13.1,0.11,6294,0.3,NA,91.1,11.5,6,0,0.1,0,1096071,24.1,31,69,0,1636,100,0,0,9,81,18.8,0.2,2849,55.2,44.8,0,1800
"Louisiana",2021,37646,97,36671,2358,23,2.12,3494,13,NA,NA,0.1,NA,92.4,9.9,5.2,0.1,0.1,0,1082943,26.9,33,67,0,1545,100,0,0,18,81.9,17.8,0.3,2698,60.1,39.9,0,1591
"Maine",2017,19345,86,16602,820,NA,NA,1831,14.4,0.57,2651,35.1,NA,66.5,30.3,8.4,NA,0,0,252859,13.1,52.6,47.4,0,840,0,0,0,0,91,8.4,0.5,949,80,19.8,0.1,862
"Maine",2018,17795,84,15021,1080,3,1.2,1571,13.4,0.75,2651,35.2,NA,63.6,31,8.8,0,0,0,250465,14.5,49.3,50.7,0,686,0,0,0,0,87.3,12.2,0.6,1201,83.2,16.6,0.1,764
"Maine",2019,21324,86,18397,1246,3,1.2,1751,10.4,0.7,2997,35,NA,66.8,30.3,8.2,NA,0,0,249610,13.8,51.1,48.9,0,654,50,0,50,4,87.2,11.1,1.6,1356,77.3,22.7,0,983
"Maine",2020,23747,89,21170,1115,1,0.39,2068,12.6,0.85,3183,40.2,NA,68,29,8.1,0,0,0,254092,12,53.8,46.2,0,888,50,12.5,37.5,8,87.8,11.7,0.5,1238,75.7,24.3,0,1049
"Maine",2021,24054,93,22250,909,8,3.18,2272,14.9,0.63,3181,40.3,NA,66.4,25.1,7.4,0,0,0,251909,15.1,59.6,39.6,0.8,1183,75,0,25,8,84.8,14.1,1.1,1015,75.9,23.2,0.9,975
"Maryland",2017,36758,74,27207,2366,41,3.05,3753,14.8,0.47,6119,0.1,NA,65.2,23.1,24.1,NA,0,0,1345241,12,44.7,54.9,0.4,1925,78.9,10.5,10.5,19,85.9,11.7,2.4,2695,71,28.6,0.3,1480
"Maryland",2018,38094,72,27331,2413,40,2.98,3797,14.8,0.55,6210,0.3,NA,66.8,20.3,25.3,NA,0,0,1341430,11.6,44.9,54.7,0.4,1909,56.5,4.3,39.1,23,84.8,12.6,2.6,2714,68.3,31.5,0.2,1564
"Maryland",2019,38391,76,29355,1917,55,4.11,3871,14.5,0.54,5789,0.2,NA,65.1,20.9,25.9,NA,0,0,1338232,12,45.7,53.3,1,1920,89.3,0,10.7,28,84.6,13.3,2.1,2162,68.5,31.3,0.2,1679
"Maryland",2020,42190,89,37341,NA,50,3.63,NA,NA,1.34,5159,0.2,NA,62.5,20.3,29.5,NA,0,0,1376810,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maryland",2021,40710,92,37331,1538,84,6.16,3953,19.6,1,5491,0.1,NA,59.8,19.3,33.8,NA,0,0,1363304,14,40.6,59.4,0,2436,58.6,3.4,37.9,29,83.7,11.8,4.5,1735,67.1,32.7,0.2,1291
