"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","length_in_care","two_minus_place","three_plus_place","missing_place","n_in_care_place","n_in_care_total","two_minus_place_all","three_plus_place_all","region"
"Arkansas",2017,43237,91,39561,3778,37,5.24,4767,9.1,0.23,1.7,15.7,56.7,22.5,19.7,NA,0,0,705952,22.5,"between 12 and 24m",47.1,52.8,0.1,2385,8545,0.576256641310708,0.423347337624342,"South"
"Arkansas",2018,43044,94,40375,3123,44,6.25,4688,10.9,0.13,1.3,16.7,49.7,30.2,20.2,0.1,0,0,703626,24.7,"greater than 24m",19.7,80.3,0.1,1638,7811,0.577570989630009,0.421797721162463,"South"
"Arkansas",2018,43044,94,40375,3123,44,6.25,4688,10.9,0.13,1.3,16.7,49.7,30.2,20.2,0.1,0,0,703626,24.7,"time in care missing",85.7,0,14.3,7,7811,0.577570989630009,0.421797721162463,"South"
"Arkansas",2018,43044,94,40375,3123,44,6.25,4688,10.9,0.13,1.3,16.7,49.7,30.2,20.2,0.1,0,0,703626,24.7,"less than 12m",77.3,22.6,0,3930,7811,0.577570989630009,0.421797721162463,"South"
"Arkansas",2018,43044,94,40375,3123,44,6.25,4688,10.9,0.13,1.3,16.7,49.7,30.2,20.2,0.1,0,0,703626,24.7,"between 12 and 24m",51.2,48.8,0,2236,7811,0.577570989630009,0.421797721162463,"South"
"Arkansas",2019,41713,95,39711,3071,35,4.99,4159,11.9,0.15,1.1,17.3,54.1,24.7,19.6,0.1,0,0,701317,22.1,"greater than 24m",18.6,81.3,0.1,1621,7230,0.575476625172891,0.423883817427386,"South"
"Arkansas",2019,41713,95,39711,3071,35,4.99,4159,11.9,0.15,1.1,17.3,54.1,24.7,19.6,0.1,0,0,701317,22.1,"time in care missing",72.7,0,27.3,11,7230,0.575476625172891,0.423883817427386,"South"
"Arkansas",2019,41713,95,39711,3071,35,4.99,4159,11.9,0.15,1.1,17.3,54.1,24.7,19.6,0.1,0,0,701317,22.1,"less than 12m",76.6,23.4,0,3723,7230,0.575476625172891,0.423883817427386,"South"
"Arkansas",2019,41713,95,39711,3071,35,4.99,4159,11.9,0.15,1.1,17.3,54.1,24.7,19.6,0.1,0,0,701317,22.1,"between 12 and 24m",53.3,46.7,0,1875,7230,0.575476625172891,0.423883817427386,"South"
"Arkansas",2020,41008,96,39314,3106,30,4.26,4053,10.5,0.21,2,2.4,72.4,20.2,19.7,0.1,0.3,0,704793,20.8,"greater than 24m",18.1,81.8,0.1,1395,7159,0.586611118871351,0.412532895655818,"South"
"Arkansas",2020,41008,96,39314,3106,30,4.26,4053,10.5,0.21,2,2.4,72.4,20.2,19.7,0.1,0.3,0,704793,20.8,"time in care missing",93.8,0,6.3,16,7159,0.586611118871351,0.412532895655818,"South"
"Arkansas",2020,41008,96,39314,3106,30,4.26,4053,10.5,0.21,2,2.4,72.4,20.2,19.7,0.1,0.3,0,704793,20.8,"less than 12m",75.6,24.3,0.1,3741,7159,0.586611118871351,0.412532895655818,"South"
"Arkansas",2020,41008,96,39314,3106,30,4.26,4053,10.5,0.21,2,2.4,72.4,20.2,19.7,0.1,0.3,0,704793,20.8,"between 12 and 24m",55,45,0,2007,7159,0.586611118871351,0.412532895655818,"South"
"Arkansas",2021,42536,93,39444,2949,36,5.12,4202,10.4,0.29,1.5,NA,74.3,18.6,18.9,0.2,2.2,0,703389,22.4,"greater than 24m",24.6,75.4,0,1466,7151,0.594548874283317,0.404377989092435,"South"
"Arkansas",2021,42536,93,39444,2949,36,5.12,4202,10.4,0.29,1.5,NA,74.3,18.6,18.9,0.2,2.2,0,703389,22.4,"time in care missing",84.6,0,15.4,13,7151,0.594548874283317,0.404377989092435,"South"
"Arkansas",2021,42536,93,39444,2949,36,5.12,4202,10.4,0.29,1.5,NA,74.3,18.6,18.9,0.2,2.2,0,703389,22.4,"less than 12m",76.1,23.8,0.1,3479,7151,0.594548874283317,0.404377989092435,"South"
"Arkansas",2021,42536,93,39444,2949,36,5.12,4202,10.4,0.29,1.5,NA,74.3,18.6,18.9,0.2,2.2,0,703389,22.4,"between 12 and 24m",56.2,43.7,0.1,2193,7151,0.594548874283317,0.404377989092435,"South"
"California",2017,544178,79,430412,28016,147,1.62,52390,14.2,0.18,10.8,0.2,93.1,8.3,5.5,NA,0.6,0,9050090,18.1,"greater than 24m",42.4,57.6,0,25527,80408,0.686197256491891,0.313802743508109,"West"
"California",2017,544178,79,430412,28016,147,1.62,52390,14.2,0.18,10.8,0.2,93.1,8.3,5.5,NA,0.6,0,9050090,18.1,"time in care missing",100,0,0,32,80408,0.686197256491891,0.313802743508109,"West"
"California",2017,544178,79,430412,28016,147,1.62,52390,14.2,0.18,10.8,0.2,93.1,8.3,5.5,NA,0.6,0,9050090,18.1,"less than 12m",87.9,12.1,0,32984,80408,0.686197256491891,0.313802743508109,"West"
"California",2017,544178,79,430412,28016,147,1.62,52390,14.2,0.18,10.8,0.2,93.1,8.3,5.5,NA,0.6,0,9050090,18.1,"between 12 and 24m",70.1,29.9,0,21865,80408,0.686197256491891,0.313802743508109,"West"
"California",2018,521789,79,413617,27178,145,1.62,51031,15,0.19,10.3,0.2,93,7.8,5.4,0.1,0.8,0,8974477,17.4,"greater than 24m",42.5,57.5,0,26030,78215,0.682021773317139,0.317965569264208,"West"
"California",2018,521789,79,413617,27178,145,1.62,51031,15,0.19,10.3,0.2,93,7.8,5.4,0.1,0.8,0,8974477,17.4,"time in care missing",90.9,6.1,3,33,78215,0.682021773317139,0.317965569264208,"West"
"California",2018,521789,79,413617,27178,145,1.62,51031,15,0.19,10.3,0.2,93,7.8,5.4,0.1,0.8,0,8974477,17.4,"less than 12m",87.8,12.2,0,31341,78215,0.682021773317139,0.317965569264208,"West"
"California",2018,521789,79,413617,27178,145,1.62,51031,15,0.19,10.3,0.2,93,7.8,5.4,0.1,0.8,0,8974477,17.4,"between 12 and 24m",70.8,29.2,0,20811,78215,0.682021773317139,0.317965569264208,"West"
"California",2019,512724,80,408959,28138,153,1.72,49747,15.2,0.19,9.3,0.1,94.3,7.3,5.4,0.1,0.7,0,8881104,15.6,"greater than 24m",42.6,57.4,0,25477,77889,0.687936961573521,0.312063038426479,"West"
"California",2019,512724,80,408959,28138,153,1.72,49747,15.2,0.19,9.3,0.1,94.3,7.3,5.4,0.1,0.7,0,8881104,15.6,"time in care missing",97.4,2.6,0,116,77889,0.687936961573521,0.312063038426479,"West"
"California",2019,512724,80,408959,28138,153,1.72,49747,15.2,0.19,9.3,0.1,94.3,7.3,5.4,0.1,0.7,0,8881104,15.6,"less than 12m",87.8,12.2,0,32178,77889,0.687936961573521,0.312063038426479,"West"
"California",2019,512724,80,408959,28138,153,1.72,49747,15.2,0.19,9.3,0.1,94.3,7.3,5.4,0.1,0.7,0,8881104,15.6,"between 12 and 24m",71.4,28.6,0,20118,77889,0.687936961573521,0.312063038426479,"West"
"California",2020,513096,88,449544,24748,150,1.68,49691,14.5,0.25,9.2,0.1,94,7,5.5,0.1,0.8,0,8936181,14.6,"greater than 24m",44.5,55.5,0,24932,74441,0.696658696148628,0.303327118120391,"West"
"California",2020,513096,88,449544,24748,150,1.68,49691,14.5,0.25,9.2,0.1,94,7,5.5,0.1,0.8,0,8936181,14.6,"time in care missing",96.2,3,0.8,132,74441,0.696658696148628,0.303327118120391,"West"
"California",2020,513096,88,449544,24748,150,1.68,49691,14.5,0.25,9.2,0.1,94,7,5.5,0.1,0.8,0,8936181,14.6,"less than 12m",88.9,11.1,0,28626,74441,0.696658696148628,0.303327118120391,"West"
"California",2020,513096,88,449544,24748,150,1.68,49691,14.5,0.25,9.2,0.1,94,7,5.5,0.1,0.8,0,8936181,14.6,"between 12 and 24m",73.2,26.8,0,20751,74441,0.696658696148628,0.303327118120391,"West"
"California",2021,490671,91,446504,22892,135,1.54,49176,16.3,0.24,8.3,0.1,93.2,6.6,7,0.1,0.7,0,8772631,15.8,"greater than 24m",47.5,52.5,0,26597,72070,0.693364090467601,0.306621756625503,"West"
